"A1","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A2","A20","A21","A22","A23","A24","A25","A26","A27","A28","A29","A3","A30","A31","A32","A33","A34","A35","A36","A37","A38","A39","A4","A40","A41","A42","A43","A44","A45","A46","A47","A48","A49","A5","A50","A51","A52","A53","A54","A6","A7","A8","A9","Top1","Top5","W1","W10","W11","W12","W13","W14","W15","W16","W17","W18","W19","W2","W20","W21","W22","W23","W24","W25","W26","W27","W28","W29","W3","W30","W31","W32","W33","W34","W35","W36","W37","W38","W39","W4","W40","W41","W42","W43","W44","W45","W46","W47","W48","W49","W5","W50","W51","W52","W53","W54","W6","W7","W8","W9"
3,1,6,1,3,7,1,8,2,3,4,2,5,4,1,7,6,1,4,7,5,1,2,1,4,4,1,3,3,3,2,5,4,7,5,6,6,5,3,8,5,8,4,5,2,4,8,2,5,5,7,5,3,5,59.84,84.21,6,2,3,3,1,1,4,1,5,1,5,1,4,6,4,1,1,2,6,1,1,3,5,4,5,2,4,1,1,6,4,3,2,4,5,5,2,6,5,4,5,1,1,1,1,1,1,6,2,5,1,1,1,4
5,2,3,1,3,6,2,8,1,7,8,2,3,4,1,6,4,7,6,6,7,5,7,6,7,7,5,8,7,2,8,6,7,4,8,3,8,6,2,4,3,6,8,7,6,2,4,5,4,6,8,3,5,6,56.65,82.39,3,1,6,3,1,4,1,3,5,2,2,5,6,2,3,7,7,1,3,4,7,3,7,5,2,2,4,2,4,1,6,1,2,4,6,2,3,6,1,3,6,3,5,1,2,1,3,6,3,1,7,4,6,6
2,8,3,2,1,8,6,1,3,8,7,6,7,7,7,1,4,8,5,5,5,2,3,8,1,8,1,6,3,1,7,6,2,7,3,6,2,7,6,2,5,7,6,1,7,6,1,8,4,6,7,6,2,3,60.59,84.64,7,3,4,7,8,6,4,1,5,1,2,6,7,8,3,1,6,6,5,2,1,6,7,8,7,7,1,1,3,3,7,7,6,5,3,7,6,4,6,1,6,1,5,4,8,5,2,1,1,1,5,7,7,5
3,1,1,6,8,3,6,5,5,1,1,7,1,1,2,4,5,6,1,5,1,4,1,3,7,6,3,5,6,3,4,8,2,1,4,5,3,7,1,7,2,4,2,7,4,1,1,6,8,2,8,5,1,1,49.85,75.81,6,6,2,1,4,2,1,1,1,3,1,5,1,2,1,2,6,3,1,1,1,2,1,6,4,3,3,1,1,6,2,4,1,2,1,1,5,1,4,3,5,4,1,5,1,4,1,2,3,5,1,3,3,1
2,8,7,4,7,6,4,5,1,3,6,1,8,4,7,5,4,1,8,3,4,3,3,4,5,2,5,2,5,3,8,7,3,1,4,7,3,8,2,4,3,5,1,7,8,8,8,1,5,4,8,8,1,2,67.15,88.58,4,1,2,6,2,2,1,3,1,7,6,4,5,2,3,3,6,5,1,1,7,3,1,3,7,5,1,1,2,1,4,2,5,6,1,1,4,2,2,3,6,5,2,1,3,4,4,3,1,5,4,1,2,1
3,2,1,2,7,3,7,5,4,2,7,1,7,6,7,3,7,8,3,5,4,2,8,4,8,2,1,5,6,5,7,5,1,1,4,6,6,6,6,5,3,8,5,8,6,7,7,8,3,2,6,8,8,7,66.97,88.88,8,1,1,4,3,2,4,5,2,3,4,4,8,7,5,6,6,5,1,7,8,3,5,7,6,4,7,4,5,1,1,2,7,3,8,4,1,3,1,5,3,1,6,1,1,1,1,1,3,4,3,8,2,2
2,6,6,3,2,6,5,2,2,6,5,5,4,4,4,2,4,8,5,8,8,3,3,7,2,7,2,5,4,3,5,5,5,7,3,7,7,2,6,4,5,1,3,4,6,7,3,3,1,8,2,7,2,7,63.95,86.62,5,4,1,4,1,2,1,1,5,6,3,4,1,4,4,1,2,5,3,5,1,6,4,2,1,7,2,2,3,4,2,5,4,5,5,5,4,1,2,7,2,1,1,4,1,2,4,1,2,5,2,4,1,5
3,3,3,2,4,6,4,1,1,1,6,7,8,6,5,6,5,7,3,5,1,6,1,1,4,8,7,4,8,3,4,2,4,3,7,7,3,3,8,5,5,3,3,8,6,2,2,2,5,8,3,1,2,7,36.84,63.62,1,2,7,7,1,1,1,1,4,4,1,4,4,1,2,4,4,1,1,1,6,3,5,6,2,1,4,3,7,6,7,3,1,6,7,5,1,5,6,2,4,1,3,5,4,2,1,5,3,1,1,7,6,6
4,2,6,7,7,5,4,7,5,6,7,3,5,1,7,4,6,1,2,2,8,1,2,5,3,2,6,5,8,4,6,2,7,8,6,8,4,2,5,1,5,4,1,7,7,1,2,6,8,7,1,6,2,4,46.06,72.75,1,5,1,4,6,4,6,3,6,2,1,1,6,3,1,5,1,5,5,6,5,2,2,1,5,4,4,2,1,1,4,2,1,2,1,2,1,4,1,6,6,1,4,2,6,1,1,4,1,5,1,6,2,1
7,2,3,5,2,1,5,5,4,5,7,4,3,6,7,2,7,4,3,5,2,5,2,5,3,1,1,7,5,4,8,7,8,8,3,1,5,4,7,4,1,7,2,7,8,3,7,1,3,4,3,5,6,6,66.23,88.21,5,2,7,2,3,7,2,3,4,3,8,5,4,1,3,5,1,6,4,2,1,5,4,1,7,1,2,3,4,1,7,4,1,1,7,2,5,1,1,3,7,6,1,1,8,6,1,2,6,3,8,1,6,7
